Date,Open,High,Low,Close,Volume,Return
2019-10-25,4.34,4.56,4.04,4.04,231556992,
2019-10-28,4.18,4.5,4.08,4.5,112008200,0.113861
2019-10-29,4.6,4.7,4.26,4.34,152061408,-0.035556
2019-10-30,4.34,4.5,4.2,4.28,85348304,-0.013825
2019-10-31,4.34,4.4,4.22,4.34,53894100,0.014019
2019-11-01,4.3,4.32,4.12,4.2,31140500,-0.032258
2019-11-04,4.24,4.42,4.16,4.3,49481300,0.02381
2019-11-05,4.28,4.58,4.26,4.58,81366600,0.065116
2019-11-06,4.58,4.72,4.5,4.5,93126304,-0.017467
2019-11-07,4.42,4.56,4.4,4.46,23174300,-0.008889
2019-11-08,4.5,4.76,4.48,4.76,57843600,0.067265
2019-11-11,4.78,4.84,4.7,4.76,53464900,0.0
2019-11-12,4.82,4.82,4.54,4.6,51102800,-0.033613
2019-11-13,4.56,4.66,4.5,4.58,24924700,-0.004348
2019-11-14,4.6,4.8,4.54,4.8,29956700,0.048035
2019-11-15,4.78,4.78,4.62,4.66,25633500,-0.029167
2019-11-18,4.74,4.74,4.64,4.72,15362200,0.012876
2019-11-19,4.72,4.94,4.7,4.88,73622800,0.033898
2019-11-20,4.82,4.9,4.68,4.72,42724400,-0.032787
2019-11-21,4.72,4.76,4.56,4.6,39970900,-0.025424
2019-11-22,4.64,4.7,4.58,4.66,19151700,0.013043
2019-11-25,4.68,4.74,4.62,4.72,13793300,0.012876
2019-11-26,4.82,4.86,4.72,4.72,46824200,0.0
2019-11-27,4.76,4.78,4.62,4.64,25418200,-0.016949
2019-11-28,4.66,4.66,4.54,4.56,15562500,-0.017241
2019-11-29,4.54,4.6,4.36,4.6,27746300,0.008772
2019-12-02,4.58,4.58,4.48,4.5,6692700,-0.021739
2019-12-03,4.48,4.6,4.4,4.42,18014300,-0.017778
2019-12-04,4.4,4.5,4.3,4.3,24147400,-0.027149
2019-12-06,4.34,4.42,4.34,4.4,14893600,0.023256
2019-12-09,4.42,4.42,4.28,4.3,13721300,-0.022727
2019-12-11,4.32,4.36,4.2,4.22,15043900,-0.018605
2019-12-12,4.26,4.38,4.22,4.38,14811900,0.037915
2019-12-13,4.42,4.44,4.34,4.36,7880500,-0.004566
2019-12-16,4.38,4.38,4.14,4.16,10034500,-0.045872
2019-12-17,4.14,4.16,4.0,4.04,24976800,-0.028846
2019-12-18,4.06,4.18,4.06,4.14,11040900,0.024752
2019-12-19,4.14,4.24,4.12,4.2,13212700,0.014493
2019-12-20,4.18,4.36,4.18,4.32,11486500,0.028571
2019-12-23,4.3,4.3,4.06,4.12,15993700,-0.046296
2019-12-24,4.14,4.22,4.06,4.08,15125200,-0.009709
2019-12-25,4.1,4.24,4.1,4.18,13221100,0.02451
2019-12-26,4.2,4.34,4.2,4.26,15826300,0.019139
2019-12-27,4.3,4.38,4.26,4.3,11065600,0.00939
2019-12-30,4.32,4.44,4.28,4.4,7267200,0.023256
2020-01-02,4.44,4.48,4.4,4.46,13044800,0.013636
2020-01-03,4.44,4.46,4.3,4.36,14857400,-0.022422
2020-01-06,4.24,4.34,4.14,4.16,12240700,-0.045872
2020-01-07,4.22,4.3,4.22,4.26,11469400,0.024038
2020-01-08,4.2,4.22,4.1,4.22,12066700,-0.00939
2020-01-09,4.3,4.34,4.24,4.26,8328100,0.009479
2020-01-10,4.28,4.32,4.22,4.28,6733500,0.004695
2020-01-13,4.32,4.32,4.26,4.26,3811200,-0.004673
2020-01-14,4.3,4.3,4.16,4.22,5707300,-0.00939
2020-01-15,4.24,4.26,4.18,4.22,2867500,0.0
2020-01-16,4.24,4.44,4.22,4.44,27285100,0.052133
2020-01-17,4.48,4.54,4.42,4.48,29371200,0.009009
2020-01-20,4.48,4.48,4.3,4.32,14449200,-0.035714
2020-01-21,4.32,4.38,4.24,4.24,8802100,-0.018519
2020-01-22,4.26,4.34,4.18,4.32,9228100,0.018868
2020-01-23,4.3,4.46,4.3,4.42,16984300,0.023148
